"Part Number","Library Ref","Capacitance","Case/Package","Description","Manufacturer","Manufacturer Part Number","Mount","Max Power Dissipation","Breakdown Voltage","Direction","HelpURL","Max Breakdown Voltage","Working Voltage","Max Operating Temperature","Min Breakdown Voltage","Min Operating Temperature","Number of Pins","REACH SVHC","RoHS","Lead Free","Height","Length","Width","Footprint Ref"
"0603ESDA2-TR2","TVS_BI","0uF",,,"Bussmann","0603ESDA2-TR2","Surface Mount","0W",,,"http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4419-0603esda2-tr2.pdf",,"0V",,"0V",,"2",,,,,,,
"0603ESDA-MLP7","TVS_BI","0uF",,,"Bussmann","0603ESDA-MLP7
0603ESDA-MLP7","Surface Mount","0W",,,"https://datasheet.octopart.com/0603ESDA-MLP7-Eaton-datasheet-12528739.pdf",,"0V",,"0V",,"2",,,,,,,
"5.0SMDJ45A","TVS_DOUBLE_SOT23-3","0uF",,"Surface Mount Uni-Directional TVS Diode","Littelfuse","5.0SMDJ45A","Surface Mount","5kW","50V","Unidirectional",,"55.3V","0V","150°C","50V","-55°C","2","Unknown",,"Lead Free",,,,
"D5V0P1B2LP-7B","TVS_BI","10pF","DFN","TVS Diodes - Transient Voltage Suppressors Low Cap Bi TVS 6.0Vbr 4A 8pF","Diodes","D5V0P1B2LP-7B","Surface Mount","250mW","7V","Bidirectional",,,"5.5V","150°C","6V","-65°C","2",,,,,,,
"ESD5384NCTBG","ESD5384NCTBG","12pF",,"5-Line HDMI Control Line",,,"Surface Mount","0W",,,,,"0V","85°C","0V","-30","9",,"Compliant","Lead Free","0.63mm","1.14mm","1.14mm",
"ESD7484NCTAG","ESD7484NCTAG","1.75pF",,"4-Line Ultra-Large Bandwidth ESD Protection",,,"Surface Mount","70W",,"Bidirectional",,,"0V","125°C","6V","-55°C","10",,,"Lead Free","0.63mm","1.6mm","1.1mm",
"ESD9B3.3ST5G","TVS_BI","15pF","SOD-923-2","TVS DIODE 3.3VWM SOD923","ON Semiconductor","ESD9B3.3ST5G","Surface Mount","300mW","5V","Bidirectional","https://datasheet.octopart.com/ESD9B3.3ST5G-ON-Semiconductor-datasheet-10979971.pdf",,"3.3V","150°C","5V","-55°C","2","No SVHC",,"Lead Free","0.4mm","0.8mm","0.65mm",
"ESDA18-1K","TVS_UNI","105pF",,"Surface Mount Uni-Directional TVS Diode","STMicroelectronics","ESDA18-1K","Surface Mount","450W","18V","Unidirectional",,"18V","15V","150°C","18V","-40°C","2","No SVHC",,"Lead Free","0.5mm","1.2mm","0.9mm",
"ESDA25L","TVS_DOUBLE_SOT23-3","50pF","SOT-23","TVS DIODE 24VWM SOT23","STMicroelectronics","ESDA25L","Surface Mount","300W","25V","Bidirectional,Unidirectional","https://pl.mouser.com/datasheet/2/389/esdal-954649.pdf","30V","24V","125°C","25V","-40°C","3","No SVHC",,"Lead Free","1.4mm","2.9mm","1.6mm",
"ESDA6V1W5","TVS_ESDA6V1W5","0uF",,"Transil array","STMicroelectronics","ESDA6V1W5","Surface Mount","0W",,,"https://www.st.com/content/ccc/resource/technical/document/datasheet/cd/9b/8d/39/1f/d4/43/ba/CD00064033.pdf/files/CD00064033.pdf/jcr:content/translations/en.CD00064033.pdf",,"0V",,"0V",,"5",,,,,,,
"P40-G240-WH","P40-G240-WH","0uF",,"Bidirectional High-Speed Overcurrent Protector.","Bourns","P40-G240-WH","Surface Mount","0W",,,"http://www.bourns.com/docs/Product-Datasheets/P40-G.pdf",,"0V",,"0V",,"6",,,,,,,
"P6SMB15A","TVS_BI","0uF",,,"Littelfuse","P6SMB15A","Surface Mount","0W",,,"http://datasheet.octopart.com/P6SMB15A-Littelfuse-datasheet-68508758.pdf",,"0V",,"0V",,"2",,,,,,,
"PESD0402-140","TVS_BI","0.25pF","0402","Bidirectional protection","Littelfuse","PESD0402-140","Surface Mount",,"14V","Bidirectional","https://datasheet.octopart.com/PESD0402-140-Littelfuse-datasheet-11092697.pdf","40V","14V",,"40V",,"2","No SVHC","RoHS","Lead Free","0.35mm","1.1mm","0.7mm","TVS_0402_1005"
